set_number,name,piece_count,image_url
9516,Jabba's Palace,717,https://images.brickset.com/sets/small/9516-1.jpg?201205010252
9525,Pre Vizsla's Mandalorian Fighter,403,https://images.brickset.com/sets/small/9525-1.jpg?201205110641
9526,Palpatine's Arrest,645,https://images.brickset.com/sets/small/9526-1.jpg?201205291215
9674,Naboo Starfighter & Naboo,56,https://images.brickset.com/sets/small/9674-1.jpg?201111200229
9675,Sebulba's Podracer & Tatooine,80,https://images.brickset.com/sets/small/9675-1.jpg?201111200229
9676,TIE Interceptor & Death Star,65,https://images.brickset.com/sets/small/9676-1.jpg?201111200229
9677,X-wing Starfighter & Yavin 4,77,https://images.brickset.com/sets/small/9677-1.jpg?201205010135
9678,Twin-Pod Cloud Car & Bespin,78,https://images.brickset.com/sets/small/9678-1.jpg?201205010135
9679,AT-ST & Endor,65,https://images.brickset.com/sets/small/9679-1.jpg?201205010135
10018,Darth Maul,1868,https://images.brickset.com/sets/small/10018-1.jpg?200709280629
10019,Rebel Blockade Runner,1747,https://images.brickset.com/sets/small/10019-1.jpg?201703240324
10026,Special Edition Naboo Starfighter,187,https://images.brickset.com/sets/small/10026-1.jpg?200206190556
10030,Imperial Star Destroyer,3096,https://images.brickset.com/sets/small/10030-1.jpg?200709280625
10123,Cloud City,698,https://images.brickset.com/sets/small/10123-1.jpg?200709280626
10129,Rebel Snowspeeder,1457,https://images.brickset.com/sets/small/10129-1.jpg?200706300826
10131,TIE Fighter Collection,682,https://images.brickset.com/sets/small/10131-1.jpg?200801171242
10134,Y-wing Attack Starfighter,1473,https://images.brickset.com/sets/small/10134-1.jpg?200409260519
10143,Death Star II,3449,https://images.brickset.com/sets/small/10143-1.jpg?200709280626
10144,Sandcrawler,1669,https://images.brickset.com/sets/small/10144-1.jpg?200709280627
10174,Imperial AT-ST,1068,https://images.brickset.com/sets/small/10174-1.jpg?200706300825
10175,Vader's TIE Advanced,1212,https://images.brickset.com/sets/small/10175-1.jpg?200608260646
10178,Motorized Walking AT-AT,1137,https://images.brickset.com/sets/small/10178-1.jpg?200712051219
10179,Ultimate Collector's Millennium Falcon,5197,https://images.brickset.com/sets/small/10179-1.jpg?200709280259
10186,General Grievous,1085,https://images.brickset.com/sets/small/10186-1.jpg?200804080442
10188,Death Star,3803,https://images.brickset.com/sets/small/10188-1.jpg?200807260532
10195,Republic Dropship with AT-OT,1758,https://images.brickset.com/sets/small/10195-1.jpg?200903231116
10198,Tantive IV,1408,https://images.brickset.com/sets/small/10198-1.jpg?200905080733
10212,Imperial Shuttle,2503,https://images.brickset.com/sets/small/10212-1.jpg?201011020607
10215,Obi-Wan's Jedi Starfighter,676,https://images.brickset.com/sets/small/10215-1.jpg?201010220708
10221,Super Star Destroyer,3152,https://images.brickset.com/sets/small/10221-1.jpg?201104120227
10225,R2-D2,2127,https://images.brickset.com/sets/small/10225-1.jpg?201201160156
10227,B-wing Starfighter,1487,https://images.brickset.com/sets/small/10227-1.jpg?201201160157
10236,Ewok Village,1990,https://images.brickset.com/sets/small/10236-1.jpg?201605160204
10240,Red Five X-wing Starfighter,1559,https://images.brickset.com/sets/small/10240-1.jpg?201510140806
11905,Brickmaster Star Wars: Battle for the Stolen Crystals parts,189,https://images.brickset.com/sets/small/11905-1.jpg?201309200521
11912,LEGO Star Wars: Build Your Own Adventure parts,73,https://images.brickset.com/sets/small/11912-1.jpg?201608101107
11920,Star Wars: Build Your Own Adventure Galactic Missions parts,66,https://images.brickset.com/sets/small/11920-1.jpg?201908180915
20006,Clone Turbo Tank,64,https://images.brickset.com/sets/small/20006-1.jpg?201704051017
20007,Republic Attack Cruiser,84,
20009,AT-TE Walker,94,
20010,Republic Gunship,94,
20016,Imperial Shuttle,70,
20018,AT-AT Walker,83,
20019,Slave I,76,
20021,Bounty Hunter Assault Gunship,81,
30004,Battle Droid on STAP,28,
30005,Imperial Speeder Bike,33,
30006,Clone Walker,31,
30050,Republic Attack Shuttle,54,
30051,Mini X-wing,61,
30052,AAT,46,
30053,Republic Attack Cruiser,41,
30054,AT-ST,46,
30055,Vulture Droid,42,
30056,Star Destroyer,38,
30057,Anakin's Podracer,38,
30058,STAP,24,
30059,MTT,51,
30240,Z-95 Headhunter,54,
30241,Mandalorian Fighter,49,
30242,Republic Frigate,45,
30243,Umbaran MHC,49,
30244,Anakin's Jedi Interceptor,45,
30246,Imperial Shuttle,57,
30247,ARC-170 Starfighter,54,
30272,A-wing Starfighter,58,
30274,AT-DP,65,
30275,TIE Advanced Prototype,47,
30276,First Order Special Forces TIE Fighter,41,
30277,First Order Star Destroyer,56,
30278,Poe's X-wing Fighter,64,
30279,Kylo Ren's Command Shuttle,43,
30380,Kylo Ren's Shuttle,33,
30381,Imperial TIE Fighter,42,
30383,Naboo Starfighter,48,
30384,Snowspeeder,49,
30386,Poe Dameron's X-wing Fighter,72,
30388,Imperial Shuttle,85,
30461,Podracer,58,
30495,AT-ST,79,
30496,U-wing Fighter,55,
30497,First Order Heavy Assault Walker,54,
30498,Imperial AT-Hauler,49,
30602,First Order Stormtrooper,7,
30605,Finn (FN-2187),5,
30611,R2-D2,70,
30624,Obi-Wan Kenobi - Collectable Minifigure,12,
30625,Luke Skywalker with Blue Milk,6,
30654,X-wing Starfighter,87,
30680,AAT,75,
30685,TIE Interceptor,48,
40176,Scarif Stormtrooper,25,
40268,R3-M2,21,
40288,BB-8,48,
40298,DJ,22,
40299,Kessel Mine Worker,22,
40300,Han Solo Mudtrooper,22,
40333,Battle of Hoth - 20th Anniversary Edition,195,
40362,Battle of Endor,197,
40407,Death Star II Battle,235,
40451,Tatooine Homestead,217,
40483,Luke Skywalker's Lightsaber,173,
40531,Lars Family Homestead Kitchen,195,
40557,Defense of Hoth,64,
40558,Clone Trooper Command Station,66,
40591,Death Star II,289,
40658,Millennium Falcon Holiday Diorama,282,
40686,Trade Federation Troop Carrier,262,
40730,Luke Skywalker's Lightsaber,145,
40755,Imperial Dropship vs. Rebel Scout Speeder,383,
65081,R2-D2 / C-3PO Droid Collectors Set,581,
65145,X-wing Fighter / TIE Fighter & Y-wing Collectors Set,677,
65153,Jango Fett's Slave I with Bonus Cargo Case,369,
65707,Bonus/Value Pack,363,
65771,Episode III Collectors' Set,544,
65828,Bonus/Value Pack,244,
65844,Bonus/Value Pack,280,
65845,Bonus/Value Pack,371,
66142,Bonus/Value Pack,302,
66150,Bonus/Value Pack,396,
66221,Bonus/Value Pack,437,
66308,3 in 1 Superpack,414,
66341,Star Wars Super Pack 3 in 1,342,
66364,Star Wars Super Pack 3 in 1,308,
66366,Star Wars Super Pack 3 in 1,531,
66368,Star Wars Super Pack 3 in 1,316,
66377,Star Wars Super Pack 3 in 1,484,
66378,Star Wars Super Pack 3 in 1,330,
66395,Star Wars Super Pack 3 in 1,367,
66396,Star Wars Super Pack 3 in 1,644,
66411,Super Pack 3-in-1,633,
66431,Super Pack 3-in-1,298,
66432,Super Pack 3-in-1,763,
66449,Super Pack 3-in-1,727,
66456,Star Wars Value Pack,821,
66473,LEGO Star Wars Super Pack,1360,
66479,Value Pack,1087,
66495,Star Wars Value Pack,840,
66512,Star Wars Rebels Super Pack 2 in 1,1163,
66514,Microfighter Super Pack 3 in 1,285,
66515,Microfighter Super Pack 3 in 1,286,
66533,Microfighter 3 in 1 Super Pack,276,
66534,Microfighter 3 in 1 Super Pack,288,
66535,Battle Pack 2 in 1,269,
66536,Battle Pack 2 in 1,243,
66542,Microfighters Super Pack 3 in 1,267,
66543,Microfighters Super Pack 3 in 1,268,
66555,Super Pack 2 in 1,232,
66556,Super Pack 2 in 1,242,
66596,Super Pack 2-in-1,201,
66597,2-in-1 Super Pack,205,
66674,Skywalker Adventures Pack,644,
66708,Galactic Adventures Pack,901,
66775,Hoth Combo Pack,691,
66778,Star Wars Mech 3-Pack,432,
66787,Jedi Masters Gift Set,654,
75000,Clone Troopers vs. Droidekas,124,
75001,Republic Troopers vs. Sith Troopers,63,
75002,AT-RT,222,
75003,A-wing Starfighter,177,
75004,Z-95 Headhunter,373,
75005,Rancor Pit,380,
75006,Jedi Starfighter & Planet Kamino,61,
75007,Republic Assault Ship & Planet Coruscant,74,
75008,TIE Bomber & Asteroid Field,60,
75009,Snowspeeder & Planet Hoth,69,
75010,B-Wing Starfighter & Planet Endor,83,
75011,Tantive IV & Planet Alderaan,102,
75012,BARC Speeder with Sidecar,226,
75013,Umbaran MHC (Mobile Heavy Cannon),493,
75014,Battle of Hoth,426,
75015,Corporate Alliance Tank Droid,271,
75016,Homing Spider Droid,295,
75017,Duel on Geonosis,391,
75018,Jek-14's Stealth Starfighter,550,
75019,AT-TE ,794,
75020,Jabba's Sail Barge,850,
